,onset,duration,trial_type
416,445.2679,1.0226,finger_left
419,447.7906,1.0225,finger_right
423,450.3132,1.0226,finger_right
426,452.8359,1.0226,finger_right
429,455.3586,1.0226,finger_right
432,457.8812,1.0226,finger_right
436,460.404,1.0226,finger_right
439,462.9266,1.0226,finger_right
442,465.4493,1.0226,finger_right
445,467.972,1.0226,finger_right
449,470.4946,1.0226,finger_right
452,473.0173,3.0227,Bfix
455,476.04,4.0226,Ins_yeux
459,482.0627,1.0226,saccade_left
461,484.5854,1.0226,saccade_left
463,487.1081,1.0226,saccade_left
465,489.6308,1.0226,saccade_left
468,492.1534,1.0226,saccade_left
470,494.6761,1.0226,saccade_left
472,497.1988,1.0226,saccade_left
474,499.7214,1.0226,saccade_left
477,502.2441,1.0226,saccade_left
479,504.7668,1.0226,saccade_left
481,507.2894,1.0226,sacaade_right
483,509.8121,1.0226,sacaade_right
486,512.3348,1.0226,sacaade_right
488,514.8574,1.0226,sacaade_right
490,517.3801,1.0226,sacaade_right
492,519.9028,1.0226,sacaade_right
495,522.4255,1.0226,sacaade_right
497,524.9481,1.0226,sacaade_right
499,527.4708,1.0226,sacaade_right
501,529.9935,1.0226,sacaade_right
504,532.5162,3.0227,Bfix
506,535.5388,4.0226,Ins_jambe
510,541.5615,1.0226,foot_left
513,544.0842,1.0226,foot_left
515,546.6069,1.0226,foot_left
517,549.1296,1.0226,foot_left
519,551.6522,1.0226,foot_left
522,554.1749,1.0226,foot_left
524,556.6976,1.0226,foot_left
526,559.2202,1.0225,foot_left
528,561.7429,1.0226,foot_left
531,564.2656,1.0226,foot_left
533,566.7883,1.0226,foot_right
535,569.3109,1.0226,foot_right
537,571.8336,1.0226,foot_right
540,574.3563,1.0226,foot_right
542,576.879,1.0226,foot_right
544,579.4017,1.0226,foot_right
546,581.9243,1.0226,foot_right
549,584.447,1.0226,foot_right
551,586.9697,1.0226,foot_right
553,589.4923,1.0226,foot_right
556,592.015,3.0227,Bfix
558,595.0377,4.0226,Ins_bouche
562,601.0604,1.0226,tongue_left
564,603.583,1.0226,tongue_left
567,606.1057,1.0226,tongue_left
569,608.6284,1.0226,tongue_left
571,611.151,1.0226,tongue_left
573,613.6737,1.0226,tongue_left
576,616.1964,1.0226,tongue_left
578,618.7191,1.0226,tongue_left
580,621.2417,1.0226,tongue_left
582,623.7644,1.0226,tongue_left
585,626.2871,1.0226,tongue_right
587,628.8097,1.0225,tongue_right
589,631.3324,1.0226,tongue_right
591,633.8551,1.0226,tongue_right
594,636.3777,1.0226,tongue_right
596,638.9004,1.0226,tongue_right
598,641.4232,1.0226,tongue_right
600,643.9458,1.0226,tongue_right
603,646.4685,1.0226,tongue_right
605,648.9912,1.0226,tongue_right
607,651.5138,3.0227,Bfix
610,654.5365,4.0226,Ins_repos
614,660.5592,1.0226,fixation_left
616,663.0819,1.0226,fixation_left
618,665.6045,1.0226,fixation_left
621,668.1272,1.0226,fixation_left
623,670.6499,1.0226,fixation_left
625,673.1725,1.0226,fixation_left
627,675.6952,1.0226,fixation_left
630,678.2179,1.0226,fixation_left
632,680.7406,1.0226,fixation_left
634,683.2632,1.0225,fixation_left
636,685.7859,1.0225,fixation_right
639,688.3086,1.0226,fixation_right
641,690.8313,1.0226,fixation_right
643,693.3539,1.0226,fixation_right
645,695.8766,1.0226,fixation_right
648,698.3992,1.0226,fixation_right
650,700.9219,1.0226,fixation_right
652,703.4446,1.0226,fixation_right
654,705.9673,1.0226,fixation_right
656,708.4899,1.0226,fixation_right
