onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
387.568	3.206	card_flip	1.0	-15.0	1.0
390.774	0.464	card_flip	1.0	-15.0	1.0
391.238	0.455	card_flip	1.0	-15.0	1.0
391.693	2.306	card_flip	1.0	-15.0	1.0
393.999	0.65	card_flip	1.0	-15.0	1.0
394.649	2.74	inter_trials			
397.389	2.251	card_flip	10.0	-100.0	1.0
399.64	0.897	card_flip	10.0	-100.0	1.0
400.537	0.486	card_flip	10.0	-100.0	1.0
401.023	1.299	card_flip	10.0	-100.0	1.0
402.322	0.496	card_flip	10.0	-100.0	1.0
402.818	2.53	inter_trials			
405.348	1.626	card_flip	15.0	-75.0	2.0
406.974	0.457	card_flip	15.0	-75.0	2.0
407.431	0.492	card_flip	15.0	-75.0	2.0
407.923	3.145	inter_trials			
411.068	1.977	card_flip	16.0	-80.0	2.0
413.045	0.444	card_flip	16.0	-80.0	2.0
413.489	0.468	card_flip	16.0	-80.0	2.0
413.957	1.327	card_flip	16.0	-80.0	2.0
415.284	1.111	card_flip	16.0	-80.0	2.0
416.395	2.403	inter_trials			
418.798	1.808	card_flip	4.0	-5.0	5.0
420.606	2.402	inter_trials			
423.008	3.615	card_flip	14.0	-80.0	1.0
426.623	0.606	card_flip	14.0	-80.0	1.0
427.229	2.339	inter_trials			
429.568	0.028	calculate reward			
429.596	56.345	reward			
485.941	2.944	end			
