Number,99
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,9.632022,30.838,2.196,40.932,274.131,0.000,-0.000
POSITION,9.714902,30.838,2.196,40.932,274.131,0.000,-0.000
POSITION,9.795240,30.838,2.196,40.932,277.867,0.000,-0.000
POSITION,9.885417,30.838,2.196,40.932,281.484,0.000,-0.000
POSITION,9.964342,30.838,2.196,40.932,285.541,0.000,-0.000
POSITION,10.043275,30.838,2.196,40.932,289.092,0.000,-0.000
POSITION,10.121776,30.838,2.196,40.932,296.173,0.000,-0.000
POSITION,10.205966,30.838,2.196,40.932,296.173,0.000,-0.000
POSITION,10.301586,30.838,2.196,40.932,299.949,0.000,-0.000
POSITION,10.376463,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.450377,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.524291,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.598774,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.673538,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.747546,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.821836,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.899837,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,10.975326,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.049507,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.123666,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.197841,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.273041,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.357449,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.432149,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.506847,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.581551,30.838,2.196,40.932,304.265,0.000,-0.000
EVENT,11.656838,Displaying control cue
EVENT,11.658675,"['Hiding control cue to target', '13']"
EVENT,11.661652,Crosshair hidden
EVENT,11.663549,Movement disabled
EVENT,11.665308,Subject pressed button to indicate goal location
EVENT,11.667667,"['Current view angle', '145.734848022']"
EVENT,11.669831,"['Right view angle', '148.822354526']"
EVENT,11.671703,"['Error in view angle', '3.08750650325']"
EVENT,11.672995,Right control decision
EVENT,11.676264,"['Displaying ITI at position', 0.5, 0.5, 'time', 1.3301445495384]"
POSITION,11.679624,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.738920,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.816360,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.892174,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,11.969522,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.045127,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.134888,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.210439,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.286361,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.368654,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.455090,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.529663,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.606211,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.681941,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.759192,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.834844,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.910314,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,12.987547,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.063702,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.141543,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.218818,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.300945,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.386530,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.469579,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.556139,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.634237,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.711183,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.788138,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.864989,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,13.941810,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.018687,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.095496,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.172799,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.250069,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.327179,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.405577,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.483132,30.838,2.196,40.932,304.265,0.000,-0.000
