costaud,neutral,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R4
propre,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R4
inintéressant,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R4
fougueux,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R4
mélancolique,negative,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R4
sceptique,neutral,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R4
soumis,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R4
fier,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R4
étourdi,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R4
altruiste,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R4
détendu,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R4
ferme,neutral,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R4
+,0,repos_post,0,0,0,0,R4-END
