"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"570","71","poldrack-single-stim","92","1054990","0.0-11.0-64.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","64","test",""
"589","89","poldrack-single-stim","93","1057007","0.0-11.0-65.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","65","test",""
"884","71","poldrack-single-stim","94","1059299","0.0-11.0-66.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","66","test",""
"542","82","poldrack-single-stim","95","1061440","0.0-11.0-67.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","67","test",""
"454","82","poldrack-single-stim","96","1063999","0.0-11.0-68.0","sub-11_sess-02_1","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","68","test",""
"641","71","poldrack-single-stim","97","1066409","0.0-11.0-69.0","sub-11_sess-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","69","test",""
"546","89","poldrack-single-stim","98","1068428","0.0-11.0-70.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","70","test",""
"935","82","poldrack-single-stim","99","1070440","0.0-11.0-71.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","71","test",""
"544","82","poldrack-single-stim","100","1072459","0.0-11.0-72.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","72","test",""
"723","89","poldrack-single-stim","101","1075019","0.0-11.0-73.0","sub-11_sess-02_1","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","73","test",""
"760","82","poldrack-single-stim","102","1077158","0.0-11.0-74.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","74","test",""
"714","89","poldrack-single-stim","103","1079169","0.0-11.0-75.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","75","test",""
"590","82","poldrack-single-stim","104","1081179","0.0-11.0-76.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","76","test",""
