"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"1127","71","poldrack-single-stim","69","464200","0.0-69.0","pilot-39_ses-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">74€</div><br><br><div class = delbox style = ""color:white"">121 jours</div></div>","89,71","4000","","20","74","121","smaller_sooner","",""
"-1","-1","poldrack-single-stim","70","471715","0.0-70.0","pilot-39_ses-02_1","","7500","1000","rest_block","<div class = centerbox><div class = center-text>Dans ce bloc suivant<br><strong>Index:</strong> Acepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accepter 20€ aujourd'hui)<br>La prochaine session commencera dans un moment.</div></div>","none","7500","","","","","","",""
"1494","71","poldrack-single-stim","71","477528","0.0-71.0","pilot-39_ses-02_1","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">45€</div><br><br><div class = delbox style = ""color:white"">107 jours</div></div>","89,71","4000","","20","45","107","smaller_sooner","",""
"1431","89","poldrack-single-stim","72","482184","0.0-72.0","pilot-39_ses-02_1","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">77€</div><br><br><div class = delbox style = ""color:white"">24 jours</div></div>","89,71","4000","","20","77","24","larger_later","",""
"2689","71","poldrack-single-stim","73","486775","0.0-73.0","pilot-39_ses-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">39€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","39","161","smaller_sooner","",""
"1544","71","poldrack-single-stim","74","492242","0.0-74.0","pilot-39_ses-02_1","","5452","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">62€</div><br><br><div class = delbox style = ""color:white"">180 jours</div></div>","89,71","4000","","20","62","180","smaller_sooner","",""
"1712","71","poldrack-single-stim","75","497645","0.0-75.0","pilot-39_ses-02_1","","5384","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">24€</div><br><br><div class = delbox style = ""color:white"">139 jours</div></div>","89,71","4000","","20","24","139","smaller_sooner","",""
"1895","89","poldrack-single-stim","76","502227","0.0-76.0","pilot-39_ses-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">72 jours</div></div>","89,71","4000","","20","58","72","larger_later","",""
"1872","89","poldrack-single-stim","77","508505","0.0-77.0","pilot-39_ses-02_1","","6268","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">56€</div><br><br><div class = delbox style = ""color:white"">93 jours</div></div>","89,71","4000","","20","56","93","larger_later","",""
"2421","89","poldrack-single-stim","78","514037","0.0-78.0","pilot-39_ses-02_1","","5520","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">45€</div><br><br><div class = delbox style = ""color:white"">26 jours</div></div>","89,71","4000","","20","45","26","larger_later","",""
