line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
33,word_list,59,459,word_list,word_absent,Disons,divan,se,squate,le,et,poulpes,cultivez,prélèvement,le.,veulent
13,complex_sentence,51,51,ObjRel,word_absent,Le,comptable,que,le,juge,soupçonne,toujours,est,présumé,innocent.,crâne
57,consonant_strings,48,1048,consonant_strings,word_present,Xp,mdtlrsf,vqhgpg,ffgcrtmcq,lrsllsl,mrd,wp,dfggtgd,hthl,kptcgrkkjrbw.,vqhgpg
22,jabberwocky,31,231,adj,word_absent,Le,barneau,dantit,à,l'acattour,de,que,le,fémé,cholète.,glarpe
6,simple_sentence,17,17,cVP,word_present,Le,froid,atténue,ma,douleur,en,pénétrant,tout,de,suite.,douleur
14,complex_sentence,32,32,SubjRel,word_absent,Les,vents,dominants,qui,annoncent,la,pleine,saison,froide,changent.,viseur
11,complex_sentence,37,37,SubjRel,word_absent,Le,vieux,moine,qui,dirige,la,chorale,du,monastère,s'assoupit.,réagit
24,jabberwocky,56,256,coord,word_absent,L'astorte,a,découté,et,les,porps,très,cimages,ont,inlité.,porduivec
16,complex_sentence,60,60,ObjRel,word_present,Le,propriétaire,que,le,serrurier,étonne,monte,mal,la,porte.,mal
7,simple_sentence,3,3,cVP,word_present,La,photo,évoque,un,mauvais,souvenir,en,s'affichant,à,l’improviste.,évoque
36,word_list,14,414,word_list,word_present,Le,de,discuter,soutenu,a,cerveau,en,Valérie,la,age.,age
15,complex_sentence,28,28,SubjRel,word_present,Le,locataire,qui,joue,du,violon,irrite,le,concierge,mélomane.,irrite
59,consonant_strings,9,1009,consonant_strings,word_present,Ws,jstd,l,rfvspq,qfvxfflkbgj,fkhgt,hrbffvjk,mpzdscs,tblr,rcmg.,hrbffvjk
32,word_list,5,405,word_list,word_absent,A,agirai,d'éternuer,selle,vapes,culturisme,une,en,presbyte,le.,joyau
17,complex_sentence,18,18,ObjClef,word_present,Ce,sont,ces,intrigues,que,le,romancier,inventente,pour,publier.,intrigues
54,consonant_strings,13,1013,consonant_strings,word_absent,Fn,csnmmtnls,p,rnnvhlbr,tgvmr,bn,bnsnfdv,kx,vsjwssvd,ddbx.,hmsk
23,jabberwocky,40,240,adj,word_absent,Le,réserte,au,pourbout,colme,dès,que,le,rodi,porserdit.,homlu
51,consonant_strings,43,1043,consonant_strings,word_absent,Trjtfg,tdjxqplr,dpq,rlfxvqng,blntmsqbttr,glrp,lm,xj,ljcdgt,hllmcqldbl.,ngpnj
38,word_list,10,410,word_list,word_present,Quitterez,suivante,hypocrite,en,le,appliquais,cette,polars,les,de.,suivante
58,consonant_strings,42,1042,consonant_strings,word_present,Nc,lzrjttlrjm,lgsrnwjfknbk,rqfl,crb,nz,jtjfl,jrmscd,crs,thbqt.,lzrjttlrjm
1,simple_sentence,15,15,cVP,word_absent,La,société,a,engagé,ce,transporteur,pour,traverser,la,Manche.,chirurgien
8,simple_sentence,41,41,coord,word_present,Le,remorqueur,tire,lentement,et,le,paquebot,rentre,au,port.,rentre
10,complex_sentence,4,4,ObjClef,word_absent,C'est,une,carte,que,le,joueur,sort,en,feignant,d'éternuer.,perçant
4,simple_sentence,58,58,coord,word_absent,Les,cigognes,migrent,et,les,Alsaciens,observent,toujours,le,ciel.,caméscope
52,consonant_strings,49,1049,consonant_strings,word_absent,Mv,tcljmrztcp,sjjdfnrl,jbfdvptn,vhvt,wkl,fd,jfkmsvbjj,fc,kbrsfp.,mbspvh
49,pseudoword_list,21,321,pseudoword_list,word_present,Apsivoir,saché,de,évatés,apesent,ma,vive,en,surreilme,le.,apesent
29,jabberwocky,20,220,cvp,word_present,Cet,asamis,répropoce,un,vauquené,en,pengavant,la,trounette,piémautue.,piémautu
