fname,chrom,block,id
color_stimuli/chromatic_061.png,chromatic,14,85
color_stimuli/chromatic_067.png,chromatic,14,86
color_stimuli/chromatic_052.png,chromatic,14,87
color_stimuli/chromatic_066.png,chromatic,14,88
color_stimuli/chromatic_026.png,chromatic,14,89
color_stimuli/chromatic_026.png,chromatic,14,90
color_stimuli/chromatic_216.png,chromatic,14,91
color_stimuli/chromatic_072.png,chromatic,14,92
color_stimuli/chromatic_040.png,chromatic,14,93
color_stimuli/chromatic_013.png,chromatic,14,94
color_stimuli/chromatic_149.png,chromatic,14,95
color_stimuli/chromatic_003.png,chromatic,14,96
color_stimuli/chromatic_024.png,chromatic,15,97
color_stimuli/chromatic_024.png,chromatic,15,98
color_stimuli/chromatic_030.png,chromatic,15,99
color_stimuli/chromatic_077.png,chromatic,15,100
color_stimuli/chromatic_060.png,chromatic,15,101
color_stimuli/chromatic_056.png,chromatic,15,102
color_stimuli/chromatic_156.png,chromatic,15,103
color_stimuli/chromatic_135.png,chromatic,15,104
color_stimuli/chromatic_019.png,chromatic,15,105
color_stimuli/chromatic_212.png,chromatic,15,106
color_stimuli/chromatic_138.png,chromatic,15,107
color_stimuli/chromatic_054.png,chromatic,15,108
color_stimuli/achromatic_109.png,achromatic,16,85
color_stimuli/achromatic_154.png,achromatic,16,86
color_stimuli/achromatic_191.png,achromatic,16,87
color_stimuli/achromatic_202.png,achromatic,16,88
color_stimuli/achromatic_207.png,achromatic,16,89
color_stimuli/achromatic_059.png,achromatic,16,90
color_stimuli/achromatic_048.png,achromatic,16,91
color_stimuli/achromatic_100.png,achromatic,16,92
color_stimuli/achromatic_070.png,achromatic,16,93
color_stimuli/achromatic_065.png,achromatic,16,94
color_stimuli/achromatic_143.png,achromatic,16,95
color_stimuli/achromatic_113.png,achromatic,16,96
color_stimuli/achromatic_055.png,achromatic,17,97
color_stimuli/achromatic_055.png,achromatic,17,98
color_stimuli/achromatic_166.png,achromatic,17,99
color_stimuli/achromatic_141.png,achromatic,17,100
color_stimuli/achromatic_141.png,achromatic,17,101
color_stimuli/achromatic_204.png,achromatic,17,102
color_stimuli/achromatic_107.png,achromatic,17,103
color_stimuli/achromatic_211.png,achromatic,17,104
color_stimuli/achromatic_198.png,achromatic,17,105
color_stimuli/achromatic_170.png,achromatic,17,106
color_stimuli/achromatic_099.png,achromatic,17,107
color_stimuli/achromatic_171.png,achromatic,17,108
color_stimuli/achromatic_148.png,achromatic,18,109
color_stimuli/achromatic_049.png,achromatic,18,110
color_stimuli/achromatic_052.png,achromatic,18,111
color_stimuli/achromatic_074.png,achromatic,18,112
color_stimuli/achromatic_026.png,achromatic,18,113
color_stimuli/achromatic_045.png,achromatic,18,114
color_stimuli/achromatic_173.png,achromatic,18,115
color_stimuli/achromatic_172.png,achromatic,18,116
color_stimuli/achromatic_004.png,achromatic,18,117
color_stimuli/achromatic_011.png,achromatic,18,118
color_stimuli/achromatic_053.png,achromatic,18,119
color_stimuli/achromatic_139.png,achromatic,18,120
color_stimuli/chromatic_208.png,chromatic,19,109
color_stimuli/chromatic_080.png,chromatic,19,110
color_stimuli/chromatic_051.png,chromatic,19,111
color_stimuli/chromatic_002.png,chromatic,19,112
color_stimuli/chromatic_177.png,chromatic,19,113
color_stimuli/chromatic_104.png,chromatic,19,114
color_stimuli/chromatic_136.png,chromatic,19,115
color_stimuli/chromatic_086.png,chromatic,19,116
color_stimuli/chromatic_010.png,chromatic,19,117
color_stimuli/chromatic_146.png,chromatic,19,118
color_stimuli/chromatic_146.png,chromatic,19,119
color_stimuli/chromatic_058.png,chromatic,19,120
color_stimuli/achromatic_079.png,achromatic,20,121
color_stimuli/achromatic_008.png,achromatic,20,122
color_stimuli/achromatic_213.png,achromatic,20,123
color_stimuli/achromatic_005.png,achromatic,20,124
color_stimuli/achromatic_005.png,achromatic,20,125
color_stimuli/achromatic_061.png,achromatic,20,126
color_stimuli/achromatic_144.png,achromatic,20,127
color_stimuli/achromatic_007.png,achromatic,20,128
color_stimuli/achromatic_165.png,achromatic,20,129
color_stimuli/achromatic_122.png,achromatic,20,130
color_stimuli/achromatic_022.png,achromatic,20,131
color_stimuli/achromatic_068.png,achromatic,20,132
color_stimuli/chromatic_041.png,chromatic,21,121
color_stimuli/chromatic_014.png,chromatic,21,122
color_stimuli/chromatic_027.png,chromatic,21,123
color_stimuli/chromatic_050.png,chromatic,21,124
color_stimuli/chromatic_081.png,chromatic,21,125
color_stimuli/chromatic_020.png,chromatic,21,126
color_stimuli/chromatic_171.png,chromatic,21,127
color_stimuli/chromatic_046.png,chromatic,21,128
color_stimuli/chromatic_175.png,chromatic,21,129
color_stimuli/chromatic_123.png,chromatic,21,130
color_stimuli/chromatic_062.png,chromatic,21,131
color_stimuli/chromatic_172.png,chromatic,21,132
color_stimuli/achromatic_159.png,achromatic,22,133
color_stimuli/achromatic_159.png,achromatic,22,134
color_stimuli/achromatic_014.png,achromatic,22,135
color_stimuli/achromatic_032.png,achromatic,22,136
color_stimuli/achromatic_194.png,achromatic,22,137
color_stimuli/achromatic_064.png,achromatic,22,138
color_stimuli/achromatic_151.png,achromatic,22,139
color_stimuli/achromatic_200.png,achromatic,22,140
color_stimuli/achromatic_081.png,achromatic,22,141
color_stimuli/achromatic_058.png,achromatic,22,142
color_stimuli/achromatic_013.png,achromatic,22,143
color_stimuli/achromatic_013.png,achromatic,22,144
color_stimuli/chromatic_168.png,chromatic,23,133
color_stimuli/chromatic_130.png,chromatic,23,134
color_stimuli/chromatic_157.png,chromatic,23,135
color_stimuli/chromatic_157.png,chromatic,23,136
color_stimuli/chromatic_043.png,chromatic,23,137
color_stimuli/chromatic_206.png,chromatic,23,138
color_stimuli/chromatic_206.png,chromatic,23,139
color_stimuli/chromatic_204.png,chromatic,23,140
color_stimuli/chromatic_112.png,chromatic,23,141
color_stimuli/chromatic_188.png,chromatic,23,142
color_stimuli/chromatic_098.png,chromatic,23,143
color_stimuli/chromatic_162.png,chromatic,23,144
color_stimuli/achromatic_072.png,achromatic,24,145
color_stimuli/achromatic_087.png,achromatic,24,146
color_stimuli/achromatic_123.png,achromatic,24,147
color_stimuli/achromatic_163.png,achromatic,24,148
color_stimuli/achromatic_175.png,achromatic,24,149
color_stimuli/achromatic_175.png,achromatic,24,150
color_stimuli/achromatic_051.png,achromatic,24,151
color_stimuli/achromatic_210.png,achromatic,24,152
color_stimuli/achromatic_024.png,achromatic,24,153
color_stimuli/achromatic_094.png,achromatic,24,154
color_stimuli/achromatic_094.png,achromatic,24,155
color_stimuli/achromatic_106.png,achromatic,24,156
color_stimuli/chromatic_093.png,chromatic,25,145
color_stimuli/chromatic_153.png,chromatic,25,146
color_stimuli/chromatic_153.png,chromatic,25,147
color_stimuli/chromatic_113.png,chromatic,25,148
color_stimuli/chromatic_000.png,chromatic,25,149
color_stimuli/chromatic_094.png,chromatic,25,150
color_stimuli/chromatic_095.png,chromatic,25,151
color_stimuli/chromatic_069.png,chromatic,25,152
color_stimuli/chromatic_069.png,chromatic,25,153
color_stimuli/chromatic_048.png,chromatic,25,154
color_stimuli/chromatic_085.png,chromatic,25,155
color_stimuli/chromatic_117.png,chromatic,25,156
color_stimuli/chromatic_141.png,chromatic,26,157
color_stimuli/chromatic_023.png,chromatic,26,158
color_stimuli/chromatic_148.png,chromatic,26,159
color_stimuli/chromatic_143.png,chromatic,26,160
color_stimuli/chromatic_078.png,chromatic,26,161
color_stimuli/chromatic_078.png,chromatic,26,162
color_stimuli/chromatic_131.png,chromatic,26,163
color_stimuli/chromatic_209.png,chromatic,26,164
color_stimuli/chromatic_047.png,chromatic,26,165
